timestamp,steps,calories_burned
2025-12-07,3039,121.56
2025-12-08,13001,520.04
2025-12-09,9472,378.88
2025-12-10,5058,202.32
2025-12-11,9166,366.64
2025-12-12,4428,177.12
2025-12-13,6943,277.72
2025-12-14,7097,283.88
2025-12-15,9679,387.16
2025-12-16,4136,165.44
2025-12-17,6737,269.48
2025-12-18,9198,367.92
2025-12-19,14706,588.24
2025-12-20,4360,174.4
2025-12-21,4554,182.16
2025-12-22,5014,200.56
2025-12-23,5051,202.04
2025-12-24,7033,281.32
2025-12-25,4132,165.28
2025-12-26,4411,176.44
2025-12-27,10696,427.84
2025-12-28,5214,208.56
2025-12-29,13871,554.84
2025-12-30,5881,235.24
2025-12-31,12675,507.0
2026-01-01,13949,557.96
2026-01-02,6198,247.92
2026-01-03,10502,420.08
2026-01-04,7763,310.52
2026-01-05,6619,264.76
